Horizon,Strategy_Final_Value,Strategy_CAGR,Strategy_Volatility,Strategy_Sharpe,Strategy_Max_Drawdown,SPX_Final_Value,SPX_CAGR,SPX_Volatility,SPX_Sharpe,Regression_MSE,Regression_R2,Classification_Error,Classification_Coverage,N_Regression,N_Classification
10,0.895128,-0.021988,0.308767,0.083714,-0.549991,1.562996,0.093767,0.194315,0.563918,0.244268,-0.000918,0.382979,0.910853,258,235
30,0.913505,-0.017992,0.186184,-0.004553,-0.370931,1.562996,0.093767,0.194315,0.563918,0.278834,-0.072919,0.428571,0.922481,258,238
60,1.232370,0.042823,0.149912,0.357286,-0.221121,1.562996,0.093767,0.194315,0.563918,0.208155,0.320066,0.292887,0.926357,258,239
